parlamento,congresso,bn:00060708n,bn:00022333n,parlamento   Assemblea parlamentare  parlamenti,convegno convention  congresso   convenzione conferenza
raccolta fondi,sviluppo,bn:00036842n,bn:13087794n,campagna per la raccolta di fondi campagna di raccolta fondi  raccolta di fondi   raccolta fondi,sviluppo
patologia,ematologia,bn:00061012n,bn:00042468n,patologia,ematologia ematologo
valle,depressione,bn:00079476n,bn:00019823n,valle   vallata conca   valle laterale  valle glaciale,disturbo depressivo  depressione clinica depressione depressione maggiore    disturbo depressivo maggiore
telescopio,sedia,bn:00069738n,bn:00017515n,telescopio   cannocchiale    telescopi   Montatura del telescopio    montature per telescopi,sedia   seggiola    gamba della sedia   sedie   impagliatura delle sedie
heavy metal,palco,bn:00043479n,bn:00073816n,heavy metal metal   musica metal    heavy-metal Heavy metal satanico,palco  palcoscenico    palco scenico   scena   spettacolo
globalismo,visto,bn:03571132n,bn:00080087n,mondialismo  globalismo,visto    visto d'ingresso    nulla osta  nullaosta   permesso
pipistrello,vampiro,bn:00008977n,bn:00049788n,pipistrello   Chiroptera  chirotteri  chirottero  pipistrelli,vampiro Lamia   Vampiri Emofilia porfirica  Empuse
deputato,dirigente,bn:00047203n,bn:04707974n,portavoce  deputato    esponente   incaricato  interprete,dirigente    presidente  dirigente sportivo  dirigenza
elettricità,cassa,bn:00030181n,bn:00016461n,energia elettrica   elettricità luce,registratore di cassa  cassa   Registratore di cassa fiscale
forestiero,straniero,bn:00002725n,bn:00002725n,straniero    forestiero  foresto cittadino straniero immigrati clandestini,straniero    forestiero  foresto cittadino straniero immigrati clandestini
bottone,macchina da cucire,bn:00014305n,bn:00070769n,bottone    pulsante,macchina da cucire macchina per cucire macchine da cucire  cucitrice   macchina cucitrice
mago,cavo,bn:03327016n,bn:22255997n,mago,cavo elettrico cavo    Cavi    Cavi di telecomunicazione   cavi elettrici
filosofo,corsa,bn:00061979n,bn:00065828n,filosofo   filosofi    Pensatore,corsa gara di velocità da corsa
popcorn,cinema,bn:00063566n,bn:00019129n,pop-corn   popcorn pop corn    mais scoppiato,cinema   sala cinematografica    cinematografo   cineschermo
agricoltura,pianta,bn:00002096n,bn:00035324n,agricoltura    agraria Rivoluzione agricola    agricultura coltivazione,flora  pianta  vegetale    piante  organismo vegetale
poeta,giornalista,bn:00063196n,bn:00057562n,poeta   poetessa    cantore musa    rimatore,giornalista    reporter    corrispondente  inviato newsperson
tempo,onda,bn:00006808n,bn:00056171n,tempo  meteo   tempo atmosferico   tempo meteorologico condizione atmosferica,onda onda marina onda del mare   flutto  Onde del mare
civiltà,stile di vita,bn:00023324n,bn:00051057n,cortesia    amabilità   bontà   buona grazia    buonagrazia,stile di vita   vitamodus vivendi
neve,ghiaccio,bn:00072455n,bn:00045705n,neve    nevica  tacaduta di neve    precipitazioni nevose   Fondi nevosi,ghiaccio   Ghiacci Ghiacciato  Ghiaccio d'acqua    Ghiaccio IV
Seconda Guerra Mondiale,Beethoven,bn:00070139n,bn:00009608n,seconda guerra mondiale 2ª Guerra Mondiale  II Conflitto Mondiale   II guerra mondiale  Seconda Guerrra Mondiale,Ludwig van Beethoven   Beethoven   ludvig van beethoven    ludwig von beethoven    van beethoven
scheda madre,scheda madre,bn:00023437n,bn:00023437n,scheda madre    mother  board   mainboard   schede madri    madre,scheda madre    mother  board   mainboard   schede madri    madre
circolo,marchio,bn:00020039n,bn:14647954n,gilda club    circolo associazione    clan,marchio    Diritto di marchio  Marchi di origine   marchio collettivo  marchio commerciale
Alessandro Magno,conquistatore,bn:00002612n,bn:00021939n,Alessandro Magno   Alessandro  Alessandro il Grande    Alessandro di Macedonia Alessandro III,conquistatore
app,galassia,bn:00005095n,bn:00032476n,applicazione programma applicativo   software applicativo    applicativo applicazione software,galassia  nebulosa    galassie    rotazione galattica
cloud computing,pioggia,bn:01225375n,bn:00066032n,cloud computing   servizi cloud   elaborazione cloud  nuvola informatica  Utility computing,pioggia   acqua   acqua piovana   acque piovane   altezza pluviometrica
