parlamento,congresso,bn:00060708n,bn:00021845n,legislatura  assemblea popolare  istituzione politica    assemblea,meeting
raccolta fondi,sviluppo,bn:22269814n,bn:00026695n,acquisizione  attività economica,miglioramento
patologia,ematologia,bn:12624231n,bn:00042468n,patologia    pigmentazione,ematologia
valle,depressione,bn:00079476n,bn:00026404n,valle   vallata conca   valle laterale  valle glaciale,depressione  avvallamento    depressione geologica   depressione naturale
telescopio,sedia,bn:00069738n,bn:00017515n,telescopio   cannocchiale,sedia  seggiola    gamba della sedia
heavy metal,palco,bn:00043479n,bn:00073816n,heavy metal metal   musica metal,palco  palcoscenico    palco scenico   scena
globalismo,visto,bn:03571132n,bn:00080087n,mondialismo  globalismo,visto    visto d'ingresso    nulla osta  nullaosta   permesso
pipistrello,vampiro,bn:00008977n,bn:00078463n,pipistrello   Chiroptera  chirotteri,vampiro  Desmodontinae   Desmodus rotundus
deputato,dirigente,bn:00021852n,bn:04707974n,membro del Congresso   deputato,dirigente  presidente
elettricità,cassa,bn:00030181n,bn:00052076n,energia elettrica   elettricità luce,altoparlante   amplificatore   cassa   diffusore   diffusore acustico
forestiero,straniero,bn:00002725n,bn:00002725n,straniero    forestiero  foresto,straniero   forestiero  foresto
bottone,macchina da cucire,bn:00014305n,bn:00070769n,bottone,macchina da cucire macchina per cucire
mago,cavo,bn:03327016n,bn:00068266n,mago,corda  cavo    cima    cordone fune
filosofo,corsa,bn:00061979n,bn:00065828n,filosofo,corsa gara di velocità
popcorn,cinema,bn:00063566n,bn:00019129n,pop-corn   popcorn pop corn,cinema sala cinematografica    cinematografo   cine    schermo
agricoltura,pianta,bn:00002096n,bn:00035324n,agricoltura    agraria,flora   pianta  vegetale    piante  organismo vegetale
poeta,giornalista,bn:00063196n,bn:00057562n,poeta   poetessa    cantore musa    rimatore,giornalista  reporter    corrispondente  inviato
tempo,onda,bn:00006808n,bn:00056171n,tempo  meteo,onda  onda marina onda del mare   flutto
civiltà,stile di vita,bn:00023324n,bn:00051057n,cortesia    amabilità   bontàbuona grazia   buonagrazia,stile di vita   vita
neve,ghiaccio,bn:00072455n,bn:00045705n,neve    nevicata    caduta di neve,ghiaccio
Seconda Guerra Mondiale,Beethoven,bn:00070139n,bn:00009608n,seconda guerra mondiale,Ludwig van Beethoven    Beethoven
scheda madre,scheda madre,bn:00023437n,bn:00023437n,scheda madre    motherboard,scheda madre    motherboard
circolo,marchio,bn:00899174n,bn:00012758n,club  circolo,marca   marchio nome commerciale    marca commerciale
Alessandro Magno,conquistatore,bn:00002612n,bn:16834881n,Alessandro Magno   Alessandro,conquistatore
app,galassia,bn:00005095n,bn:00032476n,applicazione programma applicativo   software applicativo    applicativo applicazione software,galassia  nebulosa
cloud computing,pioggia,bn:01225375n,bn:00066032n,cloud computing,pioggia   acqua   acqua piovana
televisione,attore,bn:00012048n,bn:00001176n,televisore televisione tv  tele    teleschermo,attore  attrice istrione    interprete
delta,mare,bn:00026081n,bn:00069946n,delta  delta fluviale,mare acque
filato,filo,bn:00077028n,bn:00077028n,filato    filo    refe    cucirino,filato filo    refe    cucirino
attraversamento pedonale,persona,bn:00061238n,bn:00044576n,attraversamento pedonale strisce pedonali    passaggio pedonale  attraversamento zebrato strisce,uomo    essere umano    Homo    umano   Homo sapiens sapiens
proteina,maniglia,bn:00064855n,bn:00028256n,proteina    proteine    protide,maniglia    pomello maniglia della porta
U2,Ronaldo,bn:03320432n,bn:03464322n,U2,Cristiano Ronaldo
Apple,iPhone,bn:03739345n,bn:03773392n,Apple,iPhone
menta piperita,gomma,bn:00054382n,bn:00013545n,menta piperita   Mentha piperita menta   menta peperita  Mentha x piperita,gomma da masticare    bubble gum  chewing gum gomma   gomma americana
poster,carta,bn:00010395n,bn:00060464n,cartellone   manifesto   cartello    affiche poster,carta
UNICEF,radice,bn:00079074n,bn:00068246n,UNICEF  Fondo delle Nazioni Unite per l'infanzia    Fondo internazionale di emergenza delle Nazioni Unite per l'infanzia    U.N.I.C.E.F.,radice radica  barba
xenofobia,razzismo,bn:00081765n,bn:00065822n,xenofobia  xenofobo    senofobia,razzismo  razzialismo
Woody Allen,lente,bn:00002833n,bn:00050673n,Woody Allen,lente   sistema di lenti
lampada,genio,bn:00045882n,bn:00027956n,accendino   accenditore lampada macchinetta,genio   jinn    nume tutelare
marina militare,isola,bn:00057052n,bn:00047612n,marina  marina militare marineria   flotta,isola
muro,castello,bn:00080386n,bn:00016570n,muro    parete,castello maniero fortezza    fortificazione  saliente
dinosauro,elefante,bn:00027226n,bn:00030314n,dinosauro  dinosauria,elefante
torre dell'orologio,pietra,bn:00019894n,bn:00068046n,torre dell'orologio,roccia pietra  sasso
medio oriente,Eufrate,bn:00054852n,bn:00031871n,Medio Oriente   Vicino Oriente  Medio Oriente,Eufrate
prato,prateria,bn:00043214n,bn:00041455n,prato,prateria ecosistema di prateria  prateria erbosa
chitarra,violino,bn:00042150n,bn:00034250n,chitarra,violino fiddle  violina
diplomazia,negoziato,bn:00027281n,bn:00026838n,diplomazia,negoziato negoziazione    trattativa  contrattazione  dialogo
gravità,meteora,bn:00041491n,bn:13856218n,gravità   gravitazione    interazione gravitazionale  forza di gravità,meteora
QI,Mensa,bn:00045677n,bn:00014561n,quoziente d'intelligenza quoziente intellettivo  Q.I.,mensa  cafeteria   self-service
Union Jack,bandiera,bn:02394388n,bn:00030968n,bandiera del Regno Unito,bandiera nazionale   bandiera    bandiera navale
