parlamento,congresso,3,3,4
raccolta fondi,sviluppo,0,1,1
patologia,ematologia,2,2,3
valle,depressione,0,3,4
telescopio,sedia,0,0,0
heavy metal,palco,1,2,2
globalismo,visto,1,0,1
pipistrello,vampiro,3,4,2
deputato,dirigente,2,1,2
elettricità,cassa,0,1,1
forestiero,straniero,4,4,4
bottone,macchina da cucire,2,1,2
mago,cavo,0,0,0
filosofo,corsa,0,0,0
popcorn,cinema,1,2,1
agricoltura,pianta,2,2,2
poeta,giornalista,2,1,2
tempo,onda,1,1,1
civiltà,stile di vita,1,2,3
neve,ghiaccio,3,3,3
Seconda Guerra Mondiale,Beethoven,0,0,0
scheda madre,scheda madre,4,4,4
circolo,marchio,0,0,1
Alessandro Magno,conquistatore,2,3,3
app,galassia,0,0,0
cloud computing,pioggia,0,0,0
televisione,attore,2,1,2
delta,mare,2,2,2
filato,filo,4,4,4
attraversamento pedonale,persona,2,1,2
proteina,maniglia,0,0,0
U2,Ronaldo,1,0,0
Apple,iPhone,2,2,2
menta piperita,gomma,2,1,2
poster,carta,3,2,2
UNICEF,radice,0,0,0
xenofobia,razzismo,3,3,3
Woody Allen,lente,1,0,0
lampada,genio,2,2,2
marina militare,isola,1,2,1
muro,castello,2,1,2
dinosauro,elefante,3,3,3
torre dell'orologio,pietra,1,0,2
medio oriente,Eufrate,2,2,2
prato,prateria,4,3,3
chitarra,violino,3,3,3
diplomazia,negoziato,1,0,2
gravità,meteora,2,1,2
QI,Mensa,0,0,0
Union Jack,bandiera,2,3,2
