parlamento,congresso,bn:00624460n,bn:00021845n,Parlamento  Parlamento del Regno d'Italia Parlamento in seduta comune,congressi  sistema congressuale
raccolta fondi,sviluppo,bn:22269814n,bn:00001557n,raccolta di fondi Clickraising  Consulente del fund raising Fund raising  Fundraiser,progresso avanzamento passo avanti  avanzata  passo in avanti
patologia,ematologia,bn:12624231n,bn:00042468n,pigmentazione complessi patologici  fisiopatologia  Patologa,ematologo malattie del sangue
valle,depressione,bn:00079476n,bn:00026404n,vallata conca valle laterale  valle glaciale,avvallamento depressione geologica depressione naturale
telescopio,sedia,bn:00069738n,bn:00017515n,cannocchiale telescopi Montatura del telescopio  montature per telescopi,seggiola  gamba della sedia sedie impagliatura delle sedie
heavy metal,palco,bn:00043479n,bn:00073816n,metal musica metal  heavy-metal Heavy metal satanico,palcoscenico palco scenico scena spettacolo
globalismo,visto,bn:23994357n,bn:00080087n,mondialismo,visto d'ingresso nulla osta  nullaosta permesso
pipistrello,vampiro,bn:00008977n,bn:00049788n,Chiroptera  chirotteri  chirottero  pipistrelli,Lamia Vampiri Emofilia porfirica  Empuse
deputato,dirigente,bn:00047203n,bn:04707974n,portavoce  esponente incaricato  interprete,presidente dirigente sportivo  dirigenza
elettricità,cassa,bn:00030181n,bn:00018016n,energia elettrica luce,bancone
forestiero,straniero,bn:00002725n,bn:00002725n,straniero  foresto cittadino straniero immigrati clandestini,forestiero  foresto cittadino straniero immigrati clandestini
bottone,macchina da cucire,bn:00014305n,bn:00070769n,chiusura accessorio,macchina per cucire  macchine da cucire  cucitrice macchina cucitrice
mago,cavo,bn:03327016n,bn:22255997n,occultista,cavo elettrico Cavi  Cavi di telecomunicazione cavi elettrici
filosofo,corsa,bn:00061979n,bn:00065828n,filosofi Pensatore,gara di velocità  da corsa
popcorn,cinema,bn:00063566n,bn:00019129n,pop-corn pop corn  mais scoppiato,sala cinematografica cinematografo cineschermo
agricoltura,pianta,bn:00002096n,bn:00035324n,agraria  Rivoluzione agricola  agricultura coltivazione,flora  vegetale  piante  organismo vegetale
poeta,giornalista,bn:00063196n,bn:00048461n,poetessa  cantore musa  rimatore,reporter articolista giornalista televisivo  giornalisti
tempo,onda,bn:00006808n,bn:00056171n,meteo  tempo atmosferico tempo meteorologico condizione atmosferica,onda marina  onda del mare flutto  Onde del mare
civiltà,stile di vita,bn:00019383n,bn:00051057n,cultura,vita  modus vivendi
neve,ghiaccio,bn:00072455n,bn:00045705n,nevicata  caduta di neve  precipitazioni nevose Fondi nevosi,Ghiacci  Ghiacciato  Ghiaccio d'acqua  Ghiaccio IV
Seconda Guerra Mondiale,Beethoven,bn:00070139n,bn:00009608n,2ª Guerra Mondiale  II Conflitto Mondiale II guerra mondiale,Ludwig van Beethoven ludvig van beethoven  ludwig von beethoven  van beethoven
scheda madre,scheda madre,bn:00023437n,bn:00023437n,motherboard mainboard schede madri  madre,motherboard mainboard schede madri  madre
circolo,marchio,bn:00899174n,bn:14647954n,club,Diritto di marchio Marchi di origine marchio collettivo  marchio commerciale
Alessandro Magno,conquistatore,bn:00002612n,bn:00021939n,Alessandro Alessandro il Grande  Alessandro di Macedonia Alessandro III,vanquisher trionfatore
app,galassia,bn:00005095n,bn:00032476n,applicazione programma applicativo software applicativo  applicativo applicazione software,nebulosa  galassie  rotazione galattica nebulosa extragalattica
cloud computing,pioggia,bn:01225375n,bn:00066032n,servizi cloud elaborazione cloud  nuvola informatica  Utility computing,acqua acqua piovana acque piovane altezza pluviometrica
televisione,attore,bn:00012048n,bn:00001176n,televisore tv  tele  teleschermo,attrice istrione  interprete  attori
delta,mare,bn:00026081n,bn:00069946n,delta fluviale foce a delta  Delta fluviali  delta del fiume,acque mare interno
filato,filo,bn:00077028n,bn:00077028n,filo  refe  cucirino  filo di cotone filato,filato  refe  cucirino  filo di cotone filato
attraversamento pedonale,persona,bn:00061238n,bn:00044576n,strisce pedonali passaggio pedonale  attraversamento zebrato strisce,uomo  essere umano  Homo  umano Homo sapiens sapiens
proteina,maniglia,bn:00064855n,bn:00028256n,proteine  protide isoforme  proteica,pomello  maniglia della porta
U2,Ronaldo,bn:03320432n,bn:03464322n,Passengers U-2,Cristiano Ronaldo CR7 Cristiano Ronaldo dos Santos Aveiro
Apple,iPhone,bn:03739345n,bn:03773392n,Apple  AAPL  Apple Inc.  Apple Computer  Apple Computer Inc,iPhone I phone melafonino  applicazione per iphone
menta piperita,gomma,bn:00054382n,bn:00013545n
poster,carta,bn:00010421n,bn:00060464n
UNICEF,radice,bn:00079074n,bn:00068246n
xenofobia,razzismo,bn:00081765n,bn:00065822n
Woody Allen,lente,bn:00002833n,bn:00050673n
lampada,genio,bn:00048964n,bn:00027956n
marina militare,isola,bn:00251727n,bn:00047612n
muro,castello,bn:00080386n,bn:00016570n
dinosauro,elefante,bn:00027226n,bn:00030314n
torre dell'orologio,pietra,bn:00019894n,bn:14894574n
medio oriente,Eufrate,bn:00054852n,bn:00031871n
prato,prateria,bn:00043214n,bn:00041455n
chitarra,violino,bn:00042150n,bn:00034250n
diplomazia,negoziato,bn:00026042n,bn:00026838n
gravità,meteora,bn:00041491n,bn:13856218n
QI,Mensa,bn:00045677n,bn:00014561n
Union Jack,bandiera,bn:00872417n,bn:00034960n
